Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Predicted_RF,Attrition_Probability_RF
25,0,Travel_Rarely,891,Sales,4,2,Life Sciences,2,0,99,2,2,Sales Executive,4,Single,4487,12090,1,1,11,3,2,0,5,3,3,5,4,1,3,0,0.23
37,0,Travel_Rarely,367,Research & Development,25,2,Medical,3,0,52,2,2,Healthcare Representative,4,Divorced,5731,17171,7,0,13,3,3,2,9,2,3,6,2,1,3,0,0.08
35,0,Travel_Rarely,538,Research & Development,25,2,Other,1,1,54,2,2,Laboratory Technician,4,Single,3681,14004,4,0,14,3,4,0,9,3,3,3,2,0,2,0,0.22
31,0,Travel_Rarely,688,Sales,7,3,Life Sciences,3,1,44,2,3,Manager,4,Divorced,11557,25291,9,0,21,4,3,1,10,3,2,5,4,0,1,0,0.17
34,0,Travel_Rarely,1480,Sales,4,3,Life Sciences,3,1,64,3,3,Sales Executive,4,Married,9713,24444,2,1,13,3,4,3,9,3,3,5,3,1,0,0,0.13
37,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,1,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,0,0.12
35,0,Travel_Rarely,819,Research & Development,2,3,Life Sciences,3,1,44,2,3,Manufacturing Director,2,Divorced,10274,19588,2,0,18,3,2,1,15,2,4,7,7,6,4,0,0.03
46,0,Travel_Rarely,526,Sales,1,2,Marketing,2,0,92,3,3,Sales Executive,1,Divorced,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7,0,0.15
36,0,Travel_Frequently,635,Research & Development,18,1,Medical,2,0,73,3,1,Laboratory Technician,4,Single,2153,7703,1,0,13,3,1,0,8,2,3,8,1,1,7,0,0.14
42,0,Travel_Rarely,532,Research & Development,4,2,Technical Degree,3,1,58,3,5,Manager,4,Married,19232,4933,1,0,11,3,4,0,22,3,3,22,17,11,15,0,0.04
34,0,Non-Travel,1375,Sales,10,3,Life Sciences,4,1,87,3,2,Sales Executive,3,Divorced,4001,12313,1,1,14,3,3,1,15,3,3,15,14,0,7,0,0.06
42,0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,0,92,3,2,Research Scientist,3,Divorced,4556,12932,2,0,11,3,2,1,19,3,3,5,4,0,2,0,0.1
26,1,Travel_Rarely,950,Sales,4,4,Marketing,4,1,48,2,2,Sales Executive,4,Single,5828,8450,1,1,12,3,2,0,8,0,3,8,7,7,4,0,0.33
45,0,Travel_Rarely,252,Research & Development,2,3,Life Sciences,2,0,95,2,1,Research Scientist,3,Single,2274,6153,1,0,14,3,4,0,1,3,3,1,0,0,0,0,0.34
36,0,Travel_Rarely,928,Sales,1,2,Life Sciences,2,1,56,3,2,Sales Executive,4,Married,6201,2823,1,1,14,3,4,1,18,1,2,18,14,4,11,0,0.07
51,0,Travel_Rarely,313,Research & Development,3,3,Medical,4,0,98,3,4,Healthcare Representative,2,Single,13734,7192,3,0,18,3,3,0,21,6,3,7,7,1,0,0,0.02
58,1,Travel_Rarely,147,Research & Development,23,4,Medical,4,0,94,3,3,Healthcare Representative,4,Married,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,0,0.13
30,1,Travel_Frequently,448,Sales,12,4,Life Sciences,2,1,74,2,1,Sales Representative,1,Married,2033,14470,1,0,18,3,3,1,1,2,4,1,0,0,0,1,0.54
23,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,1,83,3,1,Research Scientist,4,Divorced,2904,16092,1,0,12,3,3,2,4,2,2,4,2,0,2,0,0.06
35,1,Travel_Frequently,130,Research & Development,25,4,Life Sciences,4,0,96,3,1,Research Scientist,2,Divorced,2022,16612,1,1,19,3,1,1,10,3,2,10,2,7,8,0,0.26
24,0,Travel_Rarely,1476,Sales,4,1,Medical,4,0,42,3,2,Sales Executive,3,Married,4162,15211,1,1,12,3,3,2,5,3,3,5,4,0,3,0,0.1
40,0,Travel_Rarely,1202,Research & Development,2,1,Medical,2,0,89,4,2,Healthcare Representative,3,Divorced,6377,13888,5,0,20,4,2,3,15,0,3,12,11,11,8,0,0.02
47,0,Travel_Rarely,1454,Sales,2,4,Life Sciences,4,0,65,2,1,Sales Representative,4,Single,3294,13137,1,1,18,3,1,0,3,3,2,3,2,1,2,0,0.23
40,0,Travel_Rarely,1416,Research & Development,2,2,Medical,1,1,49,3,5,Research Director,3,Divorced,19436,5949,0,0,19,3,4,1,22,5,3,21,7,3,9,0,0.04
31,0,Travel_Rarely,525,Sales,6,4,Medical,1,1,66,4,2,Sales Executive,4,Divorced,5460,6219,4,0,22,4,4,2,13,4,4,7,7,5,7,0,0.08
38,0,Travel_Frequently,148,Research & Development,2,3,Medical,4,0,42,2,1,Laboratory Technician,2,Single,2440,23826,1,0,22,4,2,0,4,3,3,4,3,3,3,0,0.12
36,0,Travel_Rarely,188,Research & Development,7,4,Other,2,1,65,3,1,Research Scientist,4,Single,4678,23293,2,0,18,3,3,0,8,6,3,6,2,0,1,0,0.09
26,0,Travel_Rarely,683,Research & Development,2,1,Medical,1,1,36,2,1,Research Scientist,4,Single,3904,4050,0,0,12,3,4,0,5,2,3,4,3,1,1,0,0.06
36,0,Travel_Rarely,1120,Sales,11,4,Marketing,2,0,100,2,2,Sales Executive,4,Married,6652,14369,4,0,13,3,1,1,8,2,2,6,3,0,0,0,0.2
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,1,79,2,1,Research Scientist,3,Married,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,0,0.21
50,0,Travel_Frequently,1421,Research & Development,2,3,Medical,4,0,30,3,4,Manager,1,Married,17856,9490,2,0,22,4,3,1,32,3,3,2,2,2,2,0,0.03
35,1,Travel_Rarely,622,Research & Development,14,4,Other,3,1,39,2,1,Laboratory Technician,2,Divorced,3743,10074,1,1,24,4,4,1,5,2,1,4,2,0,2,0,0.22
51,1,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,1,53,1,3,Manufacturing Director,4,Single,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,0,0.06
39,0,Travel_Rarely,492,Research & Development,12,3,Medical,4,1,66,3,2,Manufacturing Director,2,Married,5295,7693,4,0,21,4,3,0,7,3,3,5,4,1,0,0,0.11
46,0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,1,51,3,4,Research Director,3,Married,17861,2288,6,0,13,3,3,0,26,2,1,3,2,0,1,0,0.05
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,0,58,3,5,Manager,3,Divorced,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0,0.02
22,0,Travel_Rarely,534,Research & Development,15,3,Medical,2,0,59,3,1,Laboratory Technician,4,Single,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0,0.44
33,0,Travel_Rarely,134,Research & Development,2,3,Life Sciences,3,1,90,3,1,Research Scientist,4,Single,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,0,0.17
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,1,80,4,1,Research Scientist,2,Divorced,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0,0.12
21,1,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,0,45,2,1,Laboratory Technician,3,Single,2625,25308,1,0,20,4,3,0,2,2,1,2,2,2,2,0,0.24
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,1,83,3,1,Research Scientist,1,Single,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,0,0.05
30,0,Travel_Rarely,921,Research & Development,1,3,Life Sciences,4,1,38,1,1,Laboratory Technician,3,Married,3833,24375,3,0,21,4,3,2,7,2,3,2,2,0,2,0,0.1
48,0,Travel_Frequently,365,Research & Development,4,5,Medical,3,1,89,2,4,Manager,4,Married,15202,5602,2,0,25,4,2,1,23,3,3,2,2,2,2,0,0.05
48,0,Travel_Rarely,1224,Research & Development,10,3,Life Sciences,4,1,91,2,5,Research Director,2,Married,19665,13583,4,0,12,3,4,0,29,3,3,22,10,12,9,0,0.03
33,0,Travel_Rarely,117,Research & Development,9,3,Medical,1,1,60,3,1,Research Scientist,4,Married,2781,6311,0,0,13,3,2,1,15,5,3,14,10,4,10,0,0.07
37,0,Travel_Rarely,1319,Research & Development,6,3,Medical,3,1,51,4,2,Research Scientist,1,Divorced,5974,17001,4,1,13,3,1,2,13,2,3,7,7,6,7,0,0.06
33,1,Travel_Rarely,527,Research & Development,1,4,Other,4,1,63,3,1,Research Scientist,4,Single,2686,5207,1,1,13,3,3,0,10,2,2,10,9,7,8,0,0.15
31,1,Non-Travel,335,Research & Development,9,2,Medical,3,1,46,2,1,Research Scientist,1,Single,2321,10322,0,1,22,4,1,0,4,0,3,3,2,1,2,0,0.44
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,1,96,3,1,Research Scientist,4,Single,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,0,0.4
38,0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,0,75,3,1,Laboratory Technician,4,Single,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,0,0.21
35,0,Travel_Rarely,950,Research & Development,7,3,Other,3,1,59,3,3,Manufacturing Director,3,Single,10221,18869,3,0,21,4,2,0,17,3,4,8,5,1,6,0,0.07
31,0,Travel_Rarely,1222,Research & Development,11,4,Life Sciences,4,1,48,3,1,Research Scientist,4,Married,2356,14871,3,1,19,3,2,1,8,2,3,6,4,0,2,0,0.21
34,0,Travel_Rarely,304,Sales,2,3,Other,4,1,60,3,2,Sales Executive,4,Single,6274,18686,1,0,22,4,3,0,6,5,3,6,5,1,4,0,0.11
31,0,Travel_Rarely,218,Sales,7,3,Technical Degree,2,1,100,4,2,Sales Executive,4,Married,6929,12241,4,0,11,3,2,1,10,3,2,8,7,7,7,0,0.08
39,0,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,0,47,2,2,Sales Executive,3,Married,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,0,0.03
26,0,Travel_Rarely,157,Research & Development,1,3,Medical,3,1,95,3,1,Laboratory Technician,1,Single,2867,20006,0,0,13,3,4,0,8,6,2,7,7,7,6,0,0.18
41,0,Travel_Frequently,1018,Sales,1,3,Marketing,3,0,66,3,2,Sales Executive,1,Divorced,4103,4297,0,0,17,3,4,1,10,2,3,9,3,1,7,0,0.02
29,0,Travel_Rarely,1246,Sales,19,3,Life Sciences,3,1,77,2,2,Sales Executive,3,Divorced,8620,23757,1,0,14,3,3,2,10,3,3,10,7,0,4,0,0.04
34,0,Travel_Frequently,618,Research & Development,3,1,Life Sciences,1,1,45,3,2,Healthcare Representative,4,Single,7756,22266,0,0,17,3,3,0,7,1,2,6,2,0,4,0,0.14
28,0,Travel_Rarely,304,Sales,9,4,Life Sciences,2,1,92,3,2,Sales Executive,4,Single,5253,20750,1,0,16,3,4,0,7,1,3,7,5,0,7,0,0.17
35,0,Travel_Rarely,287,Research & Development,1,4,Life Sciences,3,0,62,1,1,Research Scientist,4,Married,2977,8952,1,0,12,3,4,1,4,5,3,4,3,1,1,0,0.06
36,0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,0,96,3,1,Research Scientist,3,Married,2543,11868,4,0,13,3,2,1,6,3,3,2,2,2,2,0,0.07
41,0,Travel_Rarely,645,Sales,1,3,Marketing,2,1,49,4,3,Sales Executive,1,Married,8392,19566,1,0,16,3,3,1,10,2,3,10,7,0,7,0,0.05
43,0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,0,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,0,11,3,2,1,9,3,4,9,7,0,0,0,0.12
26,1,Travel_Frequently,342,Research & Development,2,3,Life Sciences,1,1,57,3,1,Research Scientist,1,Married,2042,15346,6,1,14,3,2,1,6,2,3,3,2,1,2,0,0.38
45,0,Travel_Rarely,556,Research & Development,25,2,Life Sciences,2,0,93,2,2,Manufacturing Director,4,Married,5906,23888,0,0,13,3,4,2,10,2,2,9,8,3,8,0,0.04
34,1,Travel_Frequently,234,Research & Development,9,4,Life Sciences,4,1,93,3,2,Laboratory Technician,1,Married,5346,6208,4,0,17,3,3,1,11,3,2,7,1,0,7,0,0.06
49,0,Non-Travel,1002,Research & Development,18,4,Life Sciences,4,1,92,3,2,Manufacturing Director,4,Divorced,6804,23793,1,1,15,3,1,2,7,0,3,7,7,1,7,0,0.08
44,0,Travel_Rarely,625,Research & Development,4,3,Medical,4,1,50,3,2,Healthcare Representative,2,Single,5933,5197,9,0,12,3,4,0,10,2,2,5,2,2,3,0,0.13
52,0,Travel_Rarely,319,Research & Development,3,3,Medical,4,1,39,2,3,Manufacturing Director,3,Married,7969,19609,2,1,14,3,3,0,28,4,3,5,4,0,4,0,0.04
27,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,0,85,3,1,Research Scientist,2,Single,2478,20938,1,1,12,3,2,0,4,2,2,4,3,1,2,0,0.3
38,0,Travel_Frequently,594,Research & Development,2,2,Medical,3,0,75,2,1,Laboratory Technician,2,Married,2468,15963,4,0,14,3,2,1,9,4,2,6,1,0,5,0,0.08
56,1,Travel_Rarely,310,Research & Development,7,2,Technical Degree,4,1,72,3,1,Laboratory Technician,3,Married,2339,3666,8,0,11,3,4,1,14,4,1,10,9,9,8,0,0.18
